Espacio,Producto,Cantidad
ESTRATO ARBÓREO,"BAC - CASA E / Fraxinus uhdei  - Fresno mexicano de 500-550 cm de altura, tronco de 10 cm, cepellón de 90 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Fraxinus velutina - Fresno velutina de 500-550 cm de altura, tronco de 10 cm, cepellón de 90 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Leucaena leucocephala  - Guaje de 400 cm de altura, tronco de 10 cm, cepellón de 100 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Luma apiculata - Arrayán de 250-300 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","3,0"
ESTRATO ARBÓREO,"BAC - CASA E / Luma apiculata - Arrayán de 500 - 600 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Lysiloma acapulcense - Tepehuaje de 400 cm de altura, tronco de 15 cm, cepellón de 60 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Parkinsonia aculeata  - Palo verde de 250-300 cm de altura, tronco de 4-6 cm, cepellón de 80 cm","4,0"
ESTRATO ARBÓREO,"BAC - CASA E / Persea americana - Aguacate de 120 cm de altura, tronco de 4-6 cm, cepellón de 35 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Pithecellobium dulce - Guamuchil de 500 cm de altura, tronco de 5 cm, cepellón de 60 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Psidium cattleianum - Guayabo fresa de 300 cm de altura, tronco de 4-6 cm, cepellón de 40 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Punica granatum - Granado de 150 cm de altura, tronco de  cm, cepellón de 35 cm","3,0"
ESTRATO ARBÓREO,"BAC - CASA E / Citrus aurantifolia - Lima de 160 cm de altura, tronco de 4-6 cm, cepellón de 35 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Citrus reticulata - Mandarino de 160 cm de altura, tronco de 4-6 cm, cepellón de 35 cm","3,0"
ESTRATO ARBÓREO,"BAC - CASA E / Citrus sinensis - Naranjo de 160 cm de altura, tronco de 4-6 cm, cepellón de 35 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Albizia occidentalis  - Palo blanco de 250-300 cm de altura, tronco de 4-6 cm, cepellón de 80 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Ipomea arborescens - Cazahuate de 200 cm de altura, tronco de 4-6 cm, cepellón de 50 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Buddleja cordata  - Tepozan de 250 cm de altura, tronco de 4-6 cm, cepellón de 50 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Bursera copallifera  - Copal de 250 cm de altura, tronco de 4-6 cm, cepellón de 50 cm","5,0"
ESTRATO ARBÓREO,"BAC - CASA E / Cascabela peruviana - Fraile peruviana de 300 cm de altura, tronco de 4-6 cm, cepellón de 60 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Vachellia farnesiana  - Huizache de 350-400 cm de altura, tronco de 3-5 cm, cepellón de 80 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Eysenhardtia polystachya  - Palo dulce de 100 cm de altura, tronco de 2-3 cm, cepellón de 40 cm","5,0"
ESTRATO ARBÓREO,"BAC - CASA E / Ebanopsis ebano  - Ebano de 80 cm de altura, tronco de 4-6 cm, cepellón de 30 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Casimiroa edulis  - Zapote blanco de 80 cm de altura, tronco de 2-3 cm, cepellón de 30 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Ehretia latifolia  - Capulin blanco de 80 cm de altura, tronco de 2-3 cm, cepellón de 30 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Schinus molle - Pirul de 250-300 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Plumeria rubra - Flor de mayo de 200-250 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Morus celtidifolia - Pirul de 100-150 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","1,0"
ESTRATO ARBÓREO,"BAC - CASA E / Annona cherimola - Chirimoya de 100-150 cm de altura, tronco de 4-5 cm, cepellón de 60 cm","2,0"
ESTRATO ARBÓREO,"BAC - CASA E / Ceiba aesculifolia - Pochote de 120 cm de altura, tronco de < 4 cm","1,0"
ESTRATO ARBUSTIVO,"BAC - CASA E / Lantana camara - Lantana de 20 cm de altura , cepellón de 18 cm","50,0"
ESTRATO ARBUSTIVO,"BAC - CASA E / Nolina longifolia - Borracho de 35 cm de altura , cepellón de 35 cm","10,0"
